gene,UC signature,Mendiratta signature
AQP8,0.009062717513438076,0.0
AQP9,-0.0001687035611834326,0.0
AQR,-0.0012609652516365965,0.0
AR,-0.028730166341120626,0.0
ARAF,0.00450611743748419,0.0
ARAP1,-0.0025877105602098876,0.0
ARAP2,0.0028762127297788423,0.0
ARAP3,0.0038043674246096377,0.0
ARC,-0.0008677384240392263,0.0
ARCN1,0.012911047081098624,0.0
AREG,-0.0016684424554945327,0.0
ARF1,0.01664123499549131,0.0
ARF3,-0.0015294043738412495,0.0
ARF4,0.018687982235803185,0.0
ARF5,-0.007626195329176763,0.0
ARF6,0.008882070255151139,0.0
ARFGAP1,0.0007098182291069914,0.0
ARFGAP2,-0.007576256372431787,0.0
ARFGAP3,0.006206248528294651,0.0
ARFGEF1,-0.013452473450717737,0.0
ARFGEF2,0.0030406294268908937,0.0
ARFIP1,0.008742537068397524,0.0
ARFIP2,0.005429202360530259,0.0
ARFRP1,0.0025021270692749224,0.0
ARG1,0.00013834102446448897,0.0
ARG2,0.006500509191491903,0.040067
ARGLU1,-0.011321264205390237,0.0
ARHGAP1,0.003688448485974338,0.0
ARHGAP10,-0.0036630500203791868,0.0
ARHGAP11A,0.002528748438233074,0.0
ARHGAP12,-0.004657156902906863,0.0
ARHGAP15,-0.0021358649307175633,0.0
ARHGAP17,0.005749563967842005,0.0
ARHGAP19,0.0007295509829220673,0.0
ARHGAP22,0.004078511844502065,0.0
ARHGAP24,-0.002245859192022406,0.0
ARHGAP25,-0.001404072394696165,0.0
ARHGAP26,0.003128424280302329,0.0
ARHGAP28,0.016594690698315505,0.0
ARHGAP29,-0.0033099736330340916,0.0
ARHGAP32,-0.011797366580203259,0.0
ARHGAP33,0.0026145563428541163,0.0
ARHGAP4,-0.00315323624894276,0.0
ARHGAP44,0.0023138148273521976,0.0
ARHGAP5,-0.015429967691651395,0.0
ARHGAP6,-0.0006402711351863555,0.0
ARHGDIA,0.005756997213035582,0.0
ARHGDIB,-0.006563040714667819,0.0
ARHGDIG,-0.003070245019358996,0.0
ARHGEF1,-0.0025142939568020954,0.0
ARHGEF10,0.0009414579523418833,0.0
ARHGEF10L,-0.0029392335515340887,0.0
ARHGEF11,0.002045685762662717,0.0
ARHGEF12,-0.0006288852702953886,0.0
ARHGEF15,-0.005531654200328765,0.0
ARHGEF16,-0.005779613021845402,0.0
ARHGEF17,-0.0023161202784030047,0.0
ARHGEF18,-0.0017136231118844536,0.0
ARHGEF2,9.368902465270139e-05,0.0
ARHGEF26,0.01629297263324957,0.0
ARHGEF3,-0.02104458545378704,0.0
ARHGEF38,0.0020340978215543826,0.0
ARHGEF4,0.0004049392445767095,0.0
ARHGEF40,-0.005767522958222549,0.0
ARHGEF5,0.0011086713086025158,0.0
ARHGEF6,0.0025205146676123193,0.0
ARHGEF7,-0.0032703584829004654,0.0
ARHGEF9,0.0033765893544659255,0.0
ARID1A,-0.014852474376413037,-0.009921
ARID3A,-2.2030265906240986e-05,0.0
ARID3B,0.0017472168285082553,0.0
ARID4A,-0.0037442864857576545,0.0
ARID4B,-0.0076141074903123265,0.0
ARID5A,-0.002919398185572599,0.0
ARID5B,0.014660153444092914,0.0
ARIH1,-0.006851710514265911,0.0
ARIH2,0.00881537165702687,0.0
ARL1,0.006516260078708268,0.0
ARL14,-0.0002655903179826772,0.0
ARL15,-0.001264735679589177,0.0
ARL2,0.004567365626848705,0.0
ARL2BP,0.002944107054601871,0.0
ARL3,0.0029322909023200604,0.0
ARL4A,-0.002992450900295088,0.0
ARL4C,-0.0015801831425063771,0.0
ARL4D,0.0005875072373086951,0.0
ARL5A,-0.0025720720872547355,0.0
ARL6IP1,-0.003720706592707607,0.0
ARL6IP4,-0.003996848391445786,0.0
ARL6IP5,-0.0187070750491528,0.0
ARL8B,0.007178776277006929,0.0
ARMC1,0.008695333507021097,0.0
ARMC4,0.004241945584481502,0.0
ARMC6,0.0036285775879908127,0.0
ARMC7,-0.0006730227725021807,0.0
ARMC8,0.003114130345570589,0.0
ARMC9,-0.004990777027862034,0.0
ARMCX1,0.0018245065106906376,0.0
ARMCX2,-0.0029661247618068837,0.0
ARMCX3,-0.00925812504607575,0.0
